tweet,label
eu tenho 22 anos e nunca peguei dengue espero que permaneça nessa estatistica em relação a zika,0
médica disse que não é dengue deus no comando,0
programa semente cidadã participa de mobilização contra a dengue alunos do programa semente,0
dores só aumentam vamos lá mais um dia de dengue e na upa  policlínica e maternidade prof barros lima ,1
relembrando momento combate a dengue com a cia  artedossuburbanos  estação senador camará ,0
ir3535 repelente contra o mosquito que transmite a dengue chikungunya e zika vírus indicado,0
agora na campanha de combate a dengue em capão bonito na vila aparecida  combateadengue,0
dengue   hospital geral  caxiasma ,0
dengue fdppppppp,0
combater o mosquito da dengue é uma missão de cada um de nós participando do planejamento da,0
dengue zika ou chikungunya                quantas pessoas ainda irão sofrer com essas doenças,0
melhorei da dengue já agora cuidar pra não pegar essa bosta novamente,1
se a dilma ficar povo brasileiro sofrerá mais pragas virão 1 lama de mariana 2 zika e dengue 3 show do chico buarque,0
fui numa área da cidade que ta cheia de registros de dengueacabei de ver que tem uma picada no meu dedomomentos,0
suspeita de dengue de novo que osso  hospital nossa senhora de fátima ,1
o aedes aegypti é o mosquito responsável pela transmissão das doenças dengue chikungunya e,0
ação nacional de conscientização sobre dengue zika vírus e chikunguya será realizado neste,0
vou pegar dengue zika e chikungunya  goiânia brazil ,0
espero que eu não esteja com dengue,1
e hoje é dia de mais uma mobilização contra a dengue aqui em campinas a ação que está,0
choveu vamos redobrar o cuidado com a dengue faça a sua parte e siga a dica do suricateseboso,0
o lugar da mídia sobral tv lixo dengue  little rocks ,0
a irmã bateu o pé q tinha q me trazer para um pt socorro eles suspeitam q eu to com dengue  soro e remédio na veia ,1
em fevereiro não foi encontrado nenhum foco de dengue na minha cidade o,0
informação entendendo a transmissão  mosquitomaldito zica dengue prevencao cuidado,0
saúdemg logo mais tem início a 1ª reunião do comitê gestor de enfrentamento à dengue chikungunya e zika vírus da ses—mg,0
alexdobairro13 kkkkkkkk nn to com ebola  so com suspeita de dengue,1
tiagocorreiaver diante de campanhas públicas para acabar com com mosquito da dengue vj terreno pms r dr genesio salles vila laura próx 226,0
todos contra o mosquito da dengue  click web host ,0
eles estavam falando do negócio da dengue,0
meu whats vai dar dengue misericordia,0
meu wpp ta mais parado que agua da dengue,0
se parar da dengue vaoviver carnavalbh amigas lindas  praça da liberdade ,0
luís correia contra zika chikungunya dengue,0
to com dengue a dois dias e ja perdi 4 kilos,1
dengue dever ser combatida todos os dias eliminando os focos  cada um fazendo sua parte pois,0
dengue no carnaval é simplesmente desesperador ninguém merece isso dói tudo dengueparty ,0
to com dengue   saquarema ,1
o cref1 está junto na campanha contra a dengue  cref1 ,0
vamos todo fazer nossa parte no combate à dengue galera miguelzinho já tá fazendo a parte dele,0
terrenos abandonados são propícios para criação do mosquito da dengue o bairro da ponta do,0
e vamos ficar de repouso pq essa dengue é do cão graças a deus já estou bem melhor  belo,1
todo ano a dengue causa um baita problema de saúde pública aqui no brasil mas uma vacina em,0
mano legal agr meu wpp criou dengue,0
tá com dengue,1
to cansando ja mano de dez coisas que passa na televisão todas as dez são sobre zica vírus ou dengue ah vai se fuder,0
não jogue lixo na rua e tb há lixo a retirar da estação cptmoficial itapevi próx à calçada criadouros de dengue ,0
ja nao basta a denguezika virus e a chicungunha no brasil tinha que ter os langersquero ver deterem essa doenca somostodoscellbit,0
coejapones q isso eu tô na mesma só q vomitando e diarréia amanhã volto p fazer exame pode ser dengue mts casos vigia,1
cuidado com o mosquito da dengue ontem um amigo meu quase foi,0
g1 carnaval 2016 crise chuva e dengue cancelam festas em 45 cidades em 6 estados na verdade é que esse ano é ano de eleições,0
bomdiaaa  sabado  de luta contra os mosquitos aedesaegypti  contra a dengue  zicavirus,0
camila porque vc compartilha uma pagina do mosquito da dengue raissa tamiris sobre berlinartparasites,0
dengue chikungunya planos saude planodesaude  em joao pessoa ,0
chega de água parada    dengue  2017 já pode vir kkkk ,0
zica dengue off kids 200ml  chegou hoje na farmaciel conseguimos apenas 50 unidades que,0
vai te operadengue na cara,0
ja nao basta a denguezika virus e a chicungunha no brasil tinha que ter os langersquero ver deterem essa doenca somostodoscellbit,0
abram suas portas para os agentes da prefeitura   combateàdengue dengue zica chicungunya,0
olá pessoal  a food truck ribeirão apóia está campanha  todos contra a dengue,0
tem perereca dentro de casa comendo pernilongos xô dengue biodiversidade anuros,0
missão da dengue  — estou em praia dos ingleses  scflorianopolis em florianópolis sc ,0
dengue zika zicavirus zica chicungunya xicungunha shikungunya  gt construções amp reformas ,0
perdi 2 kilos por causa da dengue vai ser difícil recuperar,1
acho que é dengue,1
nao sei se é gripe ou dengue mas tamo ai  swimming family wellness center in ponta grossa paraná ,0
cuidadocomadengue aedesaegypti mosquitodadengue  cidade,0
se cuidassem da água parada como cuidam da vida dos outros não existiria mais dengue,0
ibvbformiga combatendo a dengue ibvbcontraadengue,0
povo brasileiro tá igual escravo no egito dilma é a ramses e o mosquito da dengue e zika é o aedes aegypt,0
chegou ao brasil uma nova espécie de mosquito que transmite dengue  zica e chikungunya seu nome,0
o melhor do brasil é o brasileiro ou não zikazero dengue denguefever  osasco sao paulo ,0
tomamos um baita susto com esse maldito mosquito da dengue mas,0
não é possível o bruno tá com dengue ,1
tô achando que estou com dengue febre abrupta tontura e dor nos olhos  residencial flamboyant ,1
bh me deu um presente mara  dengue ,0
produto não tóxico possui repelência comprovada aos mosquitos da dengue pode ser utilizados em,0
o governo do rio de janeiro não tem dinheiro pra nada mas os carros de campanha contra a dengue é carro top de linha,0
estação nova em ruínas e cheia de lixo a céu aberto imenso foco de dengue e zika onde estão as autoridades ,0
tracyloira cr cuidado com dengue  ,0
esses peixinhos de mentira pra dengue procriar pra que deus mas até que esse ai eu acho bonitinho ,0
acabei de chegar do hospital são bernardo  eu fiquei aliviada por não ser dengue  mas  pode ser nefrite ,0
indo pra guerra contra o mosquito da dengue sobrinho lindo aedesaegypti dengue brasil,0
mandaram eu sorrir mas vender vacina contra a dengue no auge da demanda não é piada né,0
vamos combater os mosquitos   aedesaegypti sem zikavirus fora dengue pega o beco,0
combate ao mosquito da dengue essa luta também é sua  assessoria de comunicação  arte,0
dia de faxina contra o mosquito da dengue elimine os focos e poste a hashtag zikazero,0
tvnbr mobilizem as forças armadas pra ajudar nessa violencia desenfreada pq dengue o povo num tem medo  povo gosta o povo é culpado gov não,0
dengue é a pior coisa desse mundo,0
rio 40 graus tempo ótimo para a proliferação da dengue zika e chikungunya bloco do mosquito,0
compartilhe essa idéia  faça sua parte  todos contra a dengue zica v e,0
missão de combate a dengue   4ª cia de polícia do exército ,0
antes era so dengue agora tem mais duas doenças que eu nunca tinha ouvido falar,0
amanhã tem que i nessa coisa de dengue ainda af,0
dengue como esramos hoje,0
ylerosa da dengue,0
gtgt domingo acordei chorando gtgt mamãe me levou no médico gtgt to com dengue de novo gtgt quarta vou no medico novamente que maravilha não é mesmo,0
marianaromero03 florpenayo camiov marinajacques no me discriminen por haber tenido dengue,0
quais são as piores propagandas do serviço militar ou de combate à dengue kkkkkk,0
brasil o país mais afetado d mundo com a picada d aedes milhares infectados com dengue febre microcefalia e síndrome d g barré loucura,0
ospingosnosis após falar que a dengue é transmitida por ovo chamar o aedes aegypti de vírus a,0
quien se viene a enfermar en br eh espero que solo sea intoxicación y no dengue o alguno de esos bichos ,0
me sinto privilegiado em somar nesta campanha contra dengue e zica vírus hoje pela manhã estive,0
hoje ganso sumido como sempre em clássicos não fez a diferença michael bastos e outro q depois a dengue sumiu,0
andersonpancieri fazendo as perguntas ao pessoal da dengue,0
nossa tenho medo de dengue mais do que tive medo da samara,0
prefeitura de goiania chegando a lenha nas multas pra quem cria mosquitos da dengue e isso paulogarciapt ta certo quem sabe aprendem,0
entendendo o zika virus infographic transmitido pelo mesmo mosquito que transmite a dengue,0
no centro de referência para o combate à dengue em paranaguá paraná um mutirão de médicos,0
capitalismoselvagemfascistavive de golpeepidemialucro máximocartel juroextorsãoexploraçãoeleiçãolavajatkdenguetarifacrime¡¿,0
depois das notícias sobre o mosquito da dengue nao tem como não pensarmos nos bebês  loja,0
vfurlan dengue descartada é uma intoxicação alimentar,0
o que temos pra hoje cuidar de mãe pai e irmão todos com o chico ou dengue ou sei lá o que ,0
missão 55    a categoria de bombeiros civis contra o mosquito da dengue  zica vírus e,0
bora comer inhame xô dengue xô zica,0
to achando q ja vou bodar tem ngm pra cv meu wpp deu dengue hj ue,0
bem q falam por aqui  q quem pegou dengue é por pura vagabundagem pq minha mãe limpo tudo aqui e nós não pegamos,0
previnase contra a paixãodenguetraiçõesreprovamentosetc apenas previnase,0
já falei q dengue é a pior coisa do mundo né pse,0
pior q pegar zika chinkungunya e dengue eh ficar c a musica tra na cabeça q morte horrivel,0
pegando várias dengue  laguinho ufpe ,1
dengue  zika e chikungunya se você agir  nós podemos evitar,0
heloosilva vai pegar dengue,0
au zika dengue e o chikungunha ,0
não posso ouvir falar em mosquito da dengue que lembro das paranoia da raiene,0
a dengue e a zika chegaram aqui em casa que adianta fazer nossa parte se tem um bando de fdp que não faz nad,1
carapanãs às 16h pode saber que a dengue tá te rondando ou a zika,0
não escapei da dengue sentindose dengoso ,1
ação de combate ao mosquito transmissor da dengue zika e chikungunya dia 2301 ponto de,0
estadao daqui a pouco vem relatorio falando que a lama é benéfica q vai reduzir dengue zika etc,0
essa dengue ta foda,0
parece que o marcio araujo tem dengue,1
com essa epidemia de dengue olha a situação do lote aqui no bairro nova era 1 rua c  lavras,0
alequinzinho luquinzinho beantemam mattgata1 anamullari mateus n pega nem dengue,0
finalizando o jornal do almoço deste sábado hoje é todos contra a dengue  rbs tv bagé ,0
todos contra a dengue vire as garrafas para não acumular água parada bar do hotúlio  bar do,0
olha quem esta no pólo da dengue em ribeirão preto  fazendo matéria pra globo news  ribeirão,0
meu kit zica e dengue àgua inhame chá de picão cipó água de côco,0
melcastro não pegou zika era só dengue,0
todos juntos contra a zika zika dengue lixo augusta saopaulo  rua augusta ,0
hojeemdia por favor comentem tragam especialistas refa dengue que está uma calamidade no nosso país educarorientar é preciso grata,0
aqui jás um moquito da dengue  dianópolis ,0
e muito triste isso minhapvai outra face dengue mata ,0
e ainda fica ai mds olha o mosquito vou pegar dengue hemorrágica e morre socotro,0
nao esqueça  dengue se combate todos os dias  boehringer ingelheim ,0
enquanto vivemos uma das maiores epidemias zika vírus chikunguya e dengue o ministério da,0
imagina se eu bebesse hein  ontem tentei afogar a dengue no vinho hoje ela vai ter que tomar,0
e se abrir a janela ou entra a dengue ou entra ladrão,0
aedes mosquito macro morte dengue zika lg photo  sobral ceara ,0
pensei q o mosquito da dengue chamasse aeros aegypti camila,0
dia dtodos contra o aedes 1912  workhard aedesaegypti dengue chikungunya zikavirus ,0
quase todo mundo com dengue la em casa e eu nem sei o q e ter dengue,1
imagina eu e vc no quintal da sua casa procurando foco de mosquito da dengue,0
silviahelenape9  esta  comecando  tudo  novamente  a  dengue,0
mano to co febre e dor no corpo será que é dengue ,1
cuidado com a dengue  recife brazil ,0
gostei de um vídeo youtube de gabrielbartz  zika vírus chikungunya e dengue em toda parte,0
quer dizer que o mosquito transmite dengue chikungunha e zika tá bom certo sá mídia rsrsrs,0
apodi contra o mosquito da dengue  programase  dengue maissaúde,0
tvnbr ministro diga msmo q o povo num liga dengue 30anos de propaganda e o povo num ta nem ai eu num faria mas propaganda contra dengue,0
partiu sábadodafaxina para combater o mosquito aedes aegypti e se prevenir contra a dengue,0
olinda contra a dengue   faculdade de medicina de olinda ,0
nem a dengue zikavirus e chikungunya me impediu de comemorar essa data especial com com você,0
maluco q dor de cabeça na juntas se eu pegar dengue eu vou ficar putoooooo,0
bomdiaaa boralá  na luta contra esse tal mosquito  zicavirus  dengue  primeiro de maio,0
dengue   sala de observação  unimed  rio ,0
dengue me pegou dnv,1
hoje estávamos no sarau do misc no combate contra a dengue irmandadezonaoeste,0
levanta a mão quem ainda esta se recuperando da dengue ,1
— intenso foco de dengue rua galvão bueno 583,1
se dilma fosse cientista ela teria criado o virus zika e injetado no mosquito da dengue pra ver o que dá,0
marido dodói  deusnocontrole zika chikungunya dengue enfermeiradeplantao24h,0
antes e depois acredito que todos começaram bem este ano sem dengue prometo me dedicar com,0
me sinto privilegiado em somar nesta campanha contra dengue e zica vírus hoje pela manhã estive,0
pq não orientar são apenas 10 minutos contra a dengue zikazero dezminutoscontradengue ,0
o pt é a pior coisa que aconteceu no brasil depois vem o mosquito da dengue  brasília,0
arthurramos dengue chikugunha examesdesangue plaquetas  hospital memorial arthur ramos ,0
nada melhor que acordar cedo com dores no corpo para fazer o exame de sorologia de dengue,0
naquele momento de limpar o quintal contra a dengue tinha que tiralas do ninho instaurban,0
apenas observando essa virada de ano com dengue,1
se quem já teve dengue na segunda vez é dengue hemorrágica se assim é então também teremos chikungunya hemorrágica e zica hemorrágica,0
obrigado dengue vc ja interrompeu meu final de semana,0
nilson31082015 o renan disse que tava com dengue eu nem vo no medico nunca kkkkkkkkkk,1
gent eu moro em paranaguá e ainda não peguei dengue isso é um milagre de jesus na minha vida,0
brn   brazil to use genetically modified mosquitoes in fighting zika virus dengue fever oxitec first tested,0
foco absurdo de denguezika radiojornalamfm diariope prefrecife cbnrecife jcpe ,0
nao tem é o enxame a zika a dengue os dread toma uma ceva to na brisa ,0
casos de dengue explodem no df,1
mais uma vez com a dengue antes do carnaval  vamos simbora para mais 24h internado ,1
prefeitura do ipojuca no incentivo ao combate a dengue chikungunya,0
minha garganta ta ruim e msucorpo pesado e mole sai pla dengue,0
vou repassar para vocês uma sugestão para ajudar a afastar o mosquito causador da dengue zica,0
acordei pensando que tava com dengue zika e chikungunhamas é so preguiça mesmo,0
quem mandou você give me a name huuu vai morrer huu vai morre dengue zica menosum   chicogunha   kkkk ,0
todos juntos por uma cidade limpa elivre da dengue  em tremedal ,0
as pref das cidades litorâneas deveriam gastar menos em festas c fogos e mais no combate a dengue as praias estão impestadas de mosquitos,0
vacina contra o zika pode ser adaptada na da dengue diz diretor do butantã,0
prêmio pra tirar foco pra você não correr risco de pegar dengue prêmio,0
con el dengue  praia de quatro ilhas  sc brasil ,0
curando a dengue hahahaha deontem nemadengueaguentou poolparty,0
passe as férias no litoral brasileiro assista queima de fogos veja vários shows pegue um bronzeado e se contamine c a dengue,0
estamos declarando guerra contra dengue zica e chico cunha quer,0
número alto de casos de dengue deixa população em alertahoje são 76 casos de dengue notificados em capitão leônidas marques,0
cuidado com a dengue   cantinho da criança ,0
to com dengue,1
estamos ao vivo falando sobre a prevenção à dengue zika e chikungunya assunto importante pra,0
amor ce já teve dengue,0
meu wpp nunca esteve assim mais parado que água da dengue,0
vóvis ta com dengue tadinha  casa da vó lilia ,1
missão dada é missão cumprida todos contra a dengue   amambai ,0
haddadfernando prefsp a prefeitura devereia decretar multa a borracharias elas nao participam na campanha contra dengue,0
sentadinho no cola de sua mãe falando baixinho todo cheio de dengue morrendo de sono,0
no municipío de são paulo já tem teste rápido para dengue e o estado sr governador geraldoalckmin quando vamos ter,0
protestos em prol do impeachment de dilma não tinha mais do que 300 lagartixas urubus ratos calangos e diversos mosquitos da dengue,0
90 de chance de ser dengue kkkkkk pqp to fudido,1
eu acho que to com denguecara só pode,1
hoje é o dia d de combate ao mosquito aedes aegypti vamos nos mobilizar zikazero denguezero,0
uhuu agr pra fooder a vida to cm suspeita d dengue hehe ,1
pefabiodemelo também mosquito da dengue zika chicungunha,0
implicanteorg eu estou morando em joão pessoa estava cheio de mosquito da dengue na sala de espera no posto de saúde,0
essa bosta de zika vírus dengue e chicungunha fez eu ter que fazer um trabalho ,0
hoje foi um dia contra a dengue todos nós temos essa missão parabéns aos 9s anos  bomdia,0
vejo essas propagandas sobre a dengue e só peço a deus para que meus vizinhos cuidem dos quintais e que eu nunca mais tenha essa merda,0
graças a deus o baby não está com dengue tô tão feliz,0
em tempo de dengue sempre bom dar uma cuidada depois da chuva xodengue grandpa  seu arruda ,0
bom dia  hoje é o dia de acabar com a dengue aproveita e contemple o seu jardim  sete lagoas ,0
se for dengue,0
quer entrar na moda   vem de zika fashion rs  evite adoecer por dengue chikungunya e zika e,0
e o combate ao mosquitinho da dengue continua na minha casa além das mudinhas de neen vou,0
faça parte desta luta contra o mosquito da dengue nós já estamos fazendo a nossa parte  98 fm,0
mano se eu tiver com dengue eu sou muito zuada pq tudo q tem epidemia eu pego peguei h1n1 peguei sarampo malária,0
dengue sem agua nao tem,0
maldito mosquito da dengue  1não adianta a mulher grávida tomar todas as precauções e seu,0
dengue zica e chicu segue o avisoolimpiadas  são paulo,0
to toda doída espero q não seja dengue,0
juntos somos mais vamos combater o mosquito da dengue juntese a,0
enfim em casa e não era dengue nem zica só moleza hahahaha grazadeus e com certeza tô feliz  ,0
meu whatsapp ta tão parado que não vai demorar muito pra da dengue chikungunya e zika vírus ,0
essa dengue está acabando comigo ,1
gente to com dengue hehehe,1
se voltar pra ctba com dengue sei onde tá o vilão vergonha prefis de matinhos  temporada acabou e lixo ficou ,0
previnase contra a paixãodenguetraiçõesreprovamentosetc apenas previnase,0
dia d no combate a dengue  bairro planalto ,0
se meu whats fosse agua ia dar dengue de tao parado q é,0
jornaloglobo laurojardim  ministro da dengue e zika,0
combater o mosquito da dengue é uma tarefa coletiva faça a sua parte cuide da sua casa acabe,0
orientações sobre uso de repelentes repelente dengue zikavirus citronela bebe,0
campanha de combate a dengue ,0
olha ai meu carnaval  dengue  exu pernambuco brazil ,0
o que temos para hoje dengue chicungunya zicavirus londrina saudepublica  upa 24 horas,0
zika chikungunya dengue  bancários cidade universitária ,0
volta natal mas volta sem dengue para eu aproveitar nunca te pedi nada   praia do amor ,0
to com dengue ,1
this is what you do when you got a dengue fever and its absolutely hot to sleep abstract,0
leeandrogonzaga pior é em tempos de dengue zika e outro q ñ sei escrever tô ficando meio neurótica,0
chikungunyazika e dengue hahaah vaidiabolin  cavalin sao paulo brazil ,0
dengue chico cunha,0
bom dia pessoal  a dica de hoje é combater a dengue em nossa casa  todos contra a dengue ,0
meu irmão ta no jornal lá em bauro falando sobre dengue,0
estou com dengue ,1
minhas tias falando que estou com dengue zzz,1
últimos dias de férias espero que sem virose dengue assalto  guarujá in guarujá sp sp ,0
galera se conscientiza tanto que foi preciso oferecer 30000 pro povo ajudar a acabar com a dengue m a r a v i l h o s o,0
dengue zika chikungunia parodia indio indiopiragibe,0
elisspontes dengue  zyka ou xiguncunha,0
